2014-2015 Award Year Campus-Based Program Data by School,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,, FEDERAL WORK-STUDY ,,, PERKINS LOAN ,,, FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS ,,
00237700, St. Cloud State University, MN,563014498, Public,443," $790,644.00 "," $1,022,011.00 ",440, $-   ," $1,137,464.00 ",658," $365,364.00 "," $490,300.00 "
00237900, Saint John's University, MN,563212000, Private/Non-Profit,205," $282,869.00 "," $464,529.00 ",236, $-   ," $343,167.00 ",129," $354,115.00 "," $472,153.00 "
00238000, Saint Mary's University of Minnesota, MN,559871399, Private/Non-Profit,154," $291,879.00 "," $255,687.00 ",207, $-   ," $426,327.00 ",103," $210,065.00 "," $372,334.00 "
00238200, Saint Olaf College, MN,550571098, Private/Non-Profit,318," $364,610.00 "," $508,644.00 ",357, $-   ," $840,058.00 ",155," $337,872.00 "," $450,496.00 "
00238300, Crown College, MN,553759001, Private/Non-Profit,102," $108,193.00 "," $114,990.00 ",110, $-   ," $211,758.00 ",131," $189,347.00 "," $285,351.00 "
00238500, Northland Community and Technical College, MN,567012598, Public,95," $168,971.00 "," $204,962.00 ",19, $-   ," $20,874.00 ",165," $55,203.00 "," $88,500.00 "
00238800, University of Minnesota  Duluth, MN,558122496, Public,218," $518,945.00 "," $463,787.00 ",1539, $-   ," $2,673,913.00 ",950," $278,823.00 "," $517,121.00 "
00238900, University of Minnesota - Morris, MN,562672113, Public,291," $304,857.00 "," $366,753.00 ",46, $-   ," $111,892.00 ",505," $492,039.00 "," $656,052.00 "
00239100, Mitchell Hamline School of Law, MN,551053076, Private/Non-Profit,141," $316,803.00 "," $366,141.00 ",100, $-   ," $791,330.00 ",0, $-   , $-   
00239300, Minnesota State College - Southeast Technical, MN,559870409, Public,39," $68,802.00 "," $93,730.00 ",0, $-   , $-   ,231," $63,495.00 "," $79,369.00 "
00239400, Winona State University, MN,559875838, Public,184," $235,715.00 "," $308,200.00 ",241, $-   ," $454,493.00 ",505," $145,415.00 "," $142,605.00 "
00239600, Alcorn State University, MS,390967500, Public,351," $639,128.00 "," $518,541.00 ",0, $-   , $-   ,1460," $764,747.00 "," $992,969.00 "
00239700, Belhaven University, MS,392021789, Private/Non-Profit,175," $224,075.00 "," $259,567.00 ",66, $-   ," $174,961.00 ",150," $120,498.00 "," $170,530.00 "
00239800, Blue Mountain College, MS,386109370, Private/Non-Profit,74," $66,165.00 "," $69,291.00 ",0, $-   , $-   ,64," $18,981.00 "," $38,561.00 "
00240100, Coahoma Community College, MS,386149799, Public,268," $331,413.00 "," $191,646.00 ",0, $-   , $-   ,302," $186,654.00 "," $248,368.00 "
00240200, Copiah-Lincoln Community College, MS,391910649, Public,82," $103,349.00 "," $86,174.00 ",0, $-   , $-   ,182," $104,376.00 "," $105,585.00 "
00240300, Delta State University, MS,387330000, Public,285," $377,071.00 "," $365,275.00 ",116, $-   ," $277,875.00 ",180," $100,972.00 "," $104,992.00 "
00240400, East Central Community College, MS,393270129, Public,69," $70,727.00 "," $75,794.00 ",0, $-   , $-   ,150," $71,524.00 "," $71,524.00 "
00240500, East Mississippi Community College, MS,393580000, Public,69," $138,040.00 "," $106,075.00 ",0, $-   , $-   ,704," $135,451.00 "," $151,417.00 "
00240700, Hinds Community College, MS,391549799, Public,237," $426,543.00 "," $308,429.00 ",0, $-   , $-   ,6190," $461,692.00 "," $512,240.00 "
00240800, Holmes Community College, MS,390790000, Public,126," $184,943.00 "," $176,770.00 ",0, $-   , $-   ,218," $183,752.00 "," $174,451.00 "
00240900, Itawamba Community College, MS,388431099, Public,154," $189,620.00 "," $255,853.00 ",0, $-   , $-   ,330," $153,444.00 "," $204,593.00 "
00241000, Jackson State University, MS,392170001, Public,984," $2,008,094.00 "," $1,951,586.00 ",120, $-   ," $229,410.00 ",975," $1,017,548.00 "," $918,548.00 "
00241100, Jones County Junior College, MS,394373999, Public,62," $134,257.00 "," $105,922.00 ",0, $-   , $-   ,400," $137,469.00 "," $198,049.00 "
00241300, Meridian Community College, MS,393075890, Public,113," $131,704.00 "," $131,363.00 ",0, $-   , $-   ,126," $108,338.00 "," $97,024.00 "
00241400, Millsaps College, MS,392100001, Private/Non-Profit,167," $150,760.00 "," $180,912.00 ",69, $-   ," $254,624.00 ",132," $130,381.00 "," $193,942.00 "
00241500, Mississippi College, MS,390580001, Private/Non-Profit,352," $415,286.00 "," $379,527.00 ",100, $-   ," $280,447.00 ",166," $136,814.00 "," $136,104.00 "
00241600, Mississippi Delta Community College, MS,387610000, Public,91," $105,227.00 "," $105,227.00 ",0, $-   , $-   ,173," $100,129.00 "," $95,123.00 "
00241700, Mississippi Gulf Coast Community College, MS,395730000, Public,156," $270,004.00 "," $245,835.00 ",0, $-   , $-   ,798," $239,905.00 "," $271,149.00 "
00242200, Mississippi University for Women, MS,397015818, Public,72," $160,204.00 "," $147,736.00 ",74, $-   ," $190,279.00 ",139," $82,985.00 "," $82,985.00 "
00242300, Mississippi State University, MS,397629698, Public,486," $1,142,868.00 "," $1,245,948.00 ",1324, $-   ," $4,288,101.00 ",847," $768,233.00 "," $1,257,209.00 "
00242400, Mississippi Valley State University, MS,389411400, Public,360," $649,328.00 "," $469,259.00 ",0, $-   , $-   ,633," $441,423.00 "," $603,755.00 "
00242600, Northeast Mississippi Community College, MS,388291731, Public,94," $163,776.00 "," $139,294.00 ",0, $-   , $-   ,167," $82,942.00 "," $82,675.00 "
00242700, Northwest Mississippi Community College, MS,386681703, Public,182," $280,298.00 "," $242,923.00 ",0, $-   , $-   ,2180," $319,809.00 "," $349,714.00 "
00243000, Pearl River Community College, MS,394702201, Public,68," $139,263.00 "," $139,263.00 ",0, $-   , $-   ,135," $140,356.00 "," $139,900.00 "
00243300, Rust College, MS,386352328, Private/Non-Profit,472," $402,744.00 "," $367,112.00 ",0, $-   , $-   ,663," $489,172.00 "," $497,189.00 "
00243600, Southwest Mississippi Community College, MS,396668099, Public,85," $52,818.00 "," $62,840.00 ",0, $-   , $-   ,73," $47,611.00 "," $35,588.00 "
00243900, Tougaloo College, MS,391749799, Private/Non-Profit,234," $264,623.00 "," $279,471.00 ",0, $-   , $-   ,210," $198,873.00 "," $207,404.00 "
00244000, University of Mississippi, MS,386771848, Public,468," $971,114.00 "," $752,423.00 ",707, $-   ," $1,904,245.00 ",983," $460,935.00 "," $824,262.00 "
00244100, University of Southern Mississippi, MS,394060001, Public,316," $894,405.00 "," $847,651.00 ",2123, $-   ," $5,438,495.00 ",1087," $526,817.00 "," $524,452.00 "
00244700, William Carey University, MS,394015499, Private/Non-Profit,202," $423,698.00 "," $366,447.00 ",6, $-   ," $25,750.00 ",82," $147,883.00 "," $138,880.00 "
00244900, Avila University, MO,641451698, Private/Non-Profit,142," $131,419.00 "," $175,225.00 ",199, $-   ," $189,328.00 ",145," $84,723.00 "," $112,964.00 "
00245000, Calvary Bible College, MO,641471341, Private/Non-Profit,7," $11,961.00 "," $10,170.00 ",0, $-   , $-   ,67," $10,703.00 "," $16,400.00 "
00245200, Central Bible College, MO,658031096, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00245300, Central Methodist University, MO,652481198, Private/Non-Profit,169," $121,447.00 "," $161,929.00 ",33, $-   ," $28,825.00 ",331," $141,010.00 "," $182,298.00 "
00245400, University of Central Missouri, MO,640935001, Public,130," $354,819.00 "," $199,776.00 ",1012, $-   ," $1,422,405.00 ",376," $200,000.00 "," $275,508.00 "
00245600, Columbia College, MO,652164581, Private/Non-Profit,196," $500,000.00 "," $505,861.00 ",0, $-   , $-   ,706," $400,000.00 "," $399,628.00 "
00245700, Concordia Seminary, MO,631053199, Private/Non-Profit,66," $92,769.00 "," $129,337.00 ",21, $-   ," $152,700.00 ",0, $-   , $-   
00245800, Cottey College, MO,647722790, Private/Non-Profit,24," $29,746.00 "," $39,661.00 ",0, $-   , $-   ,37," $12,162.00 "," $16,216.00 "
00245900, Crowder College, MO,648509165, Public,108," $181,320.00 "," $212,681.00 ",0, $-   , $-   ,748," $125,000.00 "," $154,750.00 "
00246000, Culver-Stockton College, MO,634351299, Private/Non-Profit,80," $59,301.00 "," $79,068.00 ",70, $-   ," $88,325.00 ",112," $91,746.00 "," $122,328.00 "
00246100, Drury University, MO,658023791, Private/Non-Profit,160," $227,164.00 "," $286,619.00 ",169, $-   ," $239,140.00 ",397," $240,669.00 "," $320,892.00 "
00246200, Eden Theological Seminary, MO,631193192, Private/Non-Profit,23," $61,699.00 "," $77,130.00 ",0, $-   , $-   ,0, $-   , $-   
00246300, Evangel University, MO,658022125, Private/Non-Profit,334," $327,164.00 "," $439,258.00 ",569, $-   ," $687,108.00 ",375," $187,964.00 "," $249,594.00 "
00246400, Fontbonne University, MO,631053098, Private/Non-Profit,72," $80,000.00 "," $96,203.00 ",136, $-   ," $155,500.00 ",71," $73,198.00 "," $87,954.00 "
00246600, Harris - Stowe State University, MO,631032199, Public,90," $123,973.00 "," $115,625.00 ",0, $-   , $-   ,100," $55,431.00 "," $51,853.00 "
00246700, Conception Seminary College, MO,644330502, Private/Non-Profit,21," $15,811.00 "," $15,623.00 ",0, $-   , $-   ,34," $16,454.00 "," $27,208.00 "
00246800, Jefferson College, MO,630502441, Public,81," $121,614.00 "," $115,823.00 ",0, $-   , $-   ,269," $117,576.00 "," $111,977.00 "
00247100, Saint Louis Community College, MO,631022810, Public,197," $878,354.00 "," $584,537.00 ",0, $-   , $-   ,1350," $689,398.00 "," $787,402.00 "
00247300, Kansas City Art Institute, MO,641111874, Private/Non-Profit,130," $88,859.00 "," $118,479.00 ",151, $-   ," $276,505.00 ",133," $119,050.00 "," $158,684.00 "
00247400, Kansas City University of Medicine and Biosciences, MO,641062311, Private/Non-Profit,0, $-   , $-   ,21, $-   ," $60,633.00 ",0, $-   , $-   
00247700, A. T. Still University of Health Sciences, MO,635011497, Private/Non-Profit,271," $445,845.00 "," $445,068.00 ",41, $-   ," $328,000.00 ",0, $-   , $-   
00247900, Lincoln University, MO,651013500, Public,166," $196,432.00 "," $133,958.00 ",0, $-   , $-   ,223," $101,693.00 "," $144,090.00 "
00248000, Lindenwood University, MO,633011695, Private/Non-Profit,570," $480,971.00 "," $1,115,618.00 ",6, $-   ," $10,437.00 ",444," $283,619.00 "," $378,159.00 "
00248200, Maryville University of Saint Louis, MO,631417299, Private/Non-Profit,344," $270,688.00 "," $608,367.00 ",35, $-   ," $76,000.00 ",142," $159,112.00 "," $212,149.00 "
00248400, Metropolitan Community College, MO,641112408, Public,145," $441,629.00 "," $294,547.00 ",0, $-   , $-   ,1099," $400,000.00 "," $499,047.00 "
00248500, Midwestern Baptist Theological Seminary, MO,641184697, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00248600, Mineral Area College, MO,636011000, Public,46," $91,890.00 "," $71,247.00 ",0, $-   , $-   ,231," $77,476.00 "," $80,500.00 "
00248800, Missouri Southern State University, MO,648011595, Public,61," $167,943.00 "," $171,210.00 ",267, $-   ," $559,045.00 ",349," $149,166.00 "," $149,418.00 "
00248900, Missouri Valley College, MO,653403197, Private/Non-Profit,116," $94,110.00 "," $143,246.00 ",19, $-   ," $33,000.00 ",78," $91,070.00 "," $123,000.00 "
00249000, Missouri Western State University, MO,645072294, Public,353," $373,614.00 "," $447,738.00 ",125, $-   ," $253,216.00 ",338," $142,931.00 "," $190,575.00 "
00249100, Moberly Area Community College, MO,652701304, Public,52," $111,835.00 "," $104,062.00 ",0, $-   , $-   ,346," $107,906.00 "," $78,800.00 "
00249500, Truman State University, MO,635014221, Public,324," $310,818.00 "," $414,660.00 ",589, $-   ," $1,052,777.00 ",345," $101,284.00 "," $125,637.00 "
00249600, Northwest Missouri State University, MO,644686001, Public,416," $320,533.00 "," $489,268.00 ",373, $-   ," $410,189.00 ",236," $137,776.00 "," $183,702.00 "
00249800, Park University, MO,641523795, Private/Non-Profit,120," $347,761.00 "," $273,512.00 ",66, $-   ," $171,214.00 ",564," $292,729.00 "," $326,564.00 "
00249900, Rockhurst University, MO,641102561, Private/Non-Profit,327," $238,030.00 "," $365,582.00 ",227, $-   ," $312,439.00 ",128," $150,378.00 "," $189,000.00 "
00250000, College of the Ozarks, MO,657262502, Private/Non-Profit,50," $289,950.00 "," $289,950.00 ",0, $-   , $-   ,250," $82,634.00 "," $206,829.00 "
00250100, Southeast Missouri State University, MO,637014799, Public,211," $354,393.00 "," $301,415.00 ",329, $-   ," $877,866.00 ",276," $191,315.00 "," $193,782.00 "
00250200, Southwest Baptist University, MO,656132597, Private/Non-Profit,336," $254,811.00 "," $470,689.00 ",623, $-   ," $705,498.00 ",322," $164,988.00 "," $206,235.00 "
00250300, Missouri State University, MO,658970094, Public,337," $543,740.00 "," $531,972.00 ",297, $-   ," $630,810.00 ",574," $360,581.00 "," $426,750.00 "
00250400, Saint Louis College of Pharmacy, MO,631101088, Private/Non-Profit,257," $230,656.00 "," $225,879.00 ",68, $-   ," $266,000.00 ",99," $79,063.00 "," $169,868.00 "
00250600, Saint Louis University, MO,631032097, Private/Non-Profit,873," $1,433,187.00 "," $1,722,231.00 ",766, $-   ," $2,312,307.00 ",365," $751,356.00 "," $1,476,699.00 "
00251200, Stephens College, MO,652150001, Private/Non-Profit,71," $70,952.00 "," $96,082.00 ",51, $-   ," $93,000.00 ",104," $55,140.00 "," $73,520.00 "
00251400, North Central Missouri College, MO,646831824, Public,27," $36,947.00 "," $42,081.00 ",0, $-   , $-   ,91," $35,129.00 "," $27,400.00 "
00251600, University of Missouri - Columbia, MO,652111600, Public,987," $1,188,350.00 "," $1,524,776.00 ",1255, $-   ," $1,928,793.00 ",1372," $813,943.00 "," $1,086,331.00 "
00251700, Missouri University of Science and Technology, MO,654090250, Public,157," $238,724.00 "," $271,432.00 ",365, $-   ," $624,562.00 ",466," $151,198.00 "," $221,300.00 "
00251800, University of Missouri - Kansas City, MO,641102497, Public,330," $920,170.00 "," $1,026,241.00 ",471, $-   ," $892,140.00 ",329," $344,574.00 "," $451,836.00 "
00251900, University of Missouri - Saint Louis, MO,631214499, Public,109," $464,245.00 "," $273,049.00 ",505, $-   ," $581,857.00 ",552," $269,293.00 "," $375,645.00 "
00252000, Washington University in St. Louis, MO,631304899, Private/Non-Profit,1338," $1,542,152.00 "," $2,682,324.00 ",1785, $-   ," $7,247,673.00 ",263," $788,576.00 "," $1,368,768.00 "
00252100, Webster University, MO,631193194, Private/Non-Profit,658," $995,568.00 "," $1,050,027.00 ",215, $-   ," $393,000.00 ",202," $260,462.00 "," $321,000.00 "
00252200, Wentworth Military Academy and College, MO,640671799, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,51," $23,195.00 "," $30,927.00 "
00252300, Westminster College, MO,652511299, Private/Non-Profit,276," $62,491.00 "," $295,363.00 ",51, $-   ," $76,280.00 ",61," $53,066.00 "," $58,500.00 "
00252400, William Jewell College, MO,640681896, Private/Non-Profit,296," $277,407.00 "," $357,454.00 ",267, $-   ," $394,877.00 ",283," $274,552.00 "," $366,069.00 "
00252500, William Woods University, MO,652512388, Private/Non-Profit,182," $178,695.00 "," $238,260.00 ",49, $-   ," $86,993.00 ",124," $85,609.00 "," $114,145.00 "
00252600, Carroll College, MT,596250002, Private/Non-Profit,244," $196,556.00 "," $245,695.00 ",387, $-   ," $472,859.00 ",192," $69,681.00 "," $87,101.00 "
00252700, University of Great Falls, MT,594054996, Private/Non-Profit,40," $63,519.00 "," $63,519.00 ",119, $-   ," $148,388.00 ",52," $45,778.00 "," $45,778.00 "
00252800, Miles Community College, MT,593014799, Public,29," $35,514.00 "," $34,626.00 ",0, $-   , $-   ,46," $28,262.00 "," $28,262.00 "
00252900, Dawson Community College, MT,593301405, Public,24," $18,332.00 "," $25,152.00 ",7, $-   ," $8,399.00 ",52," $34,935.00 "," $45,645.00 "
00253000, Montana State University - Billings, MT,591010298, Public,176," $304,069.00 "," $229,053.00 ",137, $-   ," $542,569.00 ",396," $149,737.00 "," $299,939.00 "
00253100, Montana Tech of the University of Montana, MT,597018997, Public,83," $160,425.00 "," $131,915.00 ",111, $-   ," $296,154.00 ",119," $60,403.00 "," $106,243.00 "
00253200, Montana State University Bozeman, MT,597174160, Public,255," $754,874.00 "," $295,010.00 ",1689, $-   ," $3,064,080.00 ",1417," $398,621.00 "," $783,119.00 "
00253300, Montana State University - Northern, MT,595013148, Public,49," $84,534.00 "," $97,674.00 ",112, $-   ," $260,173.00 ",76," $39,204.00 "," $52,272.00 "
00253400, Rocky Mountain College, MT,591021796, Private/Non-Profit,157," $110,294.00 "," $147,058.00 ",38, $-   ," $149,689.00 ",198," $95,670.00 "," $127,560.00 "
00253600, University of Montana (The), MT,598120001, Public,534," $889,115.00 "," $1,046,276.00 ",938, $-   ," $1,909,676.00 ",997," $328,143.00 "," $609,993.00 "
00253700, University of Montana Western (The), MT,597253598, Public,108," $247,405.00 "," $217,151.00 ",3, $-   ," $7,800.00 ",76," $31,800.00 "," $40,859.00 "
00253900, Chadron State College, NE,693372690, Public,132," $275,724.00 "," $225,589.00 ",0, $-   , $-   ,115," $52,316.00 "," $151,559.00 "
00254000, College of Saint Mary, NE,681062606, Private/Non-Profit,166," $97,859.00 "," $97,859.00 ",94, $-   ," $159,244.00 ",212," $190,259.00 "," $190,259.00 "
00254100, Concordia University, NE,684341594, Private/Non-Profit,115," $134,780.00 "," $134,780.00 ",104, $-   ," $172,502.00 ",186," $185,039.00 "," $185,039.00 "
00254200, Creighton University, NE,681780315, Private/Non-Profit,753," $1,276,495.00 "," $1,138,428.00 ",1250, $-   ," $2,188,623.00 ",232," $457,366.00 "," $1,010,667.00 "
00254400, Doane College, NE,683332421, Private/Non-Profit,202," $129,830.00 "," $177,009.00 ",79, $-   ," $142,000.00 ",121," $104,828.00 "," $139,771.00 "
00254700, Grace University, NE,681083629, Private/Non-Profit,18," $26,671.00 "," $35,562.00 ",0, $-   , $-   ,81," $21,222.00 "," $28,296.00 "
00254800, Hastings College, NE,689017621, Private/Non-Profit,56," $83,812.00 "," $53,218.00 ",155, $-   ," $214,550.00 ",216," $82,103.00 "," $135,895.00 "
00255100, University of Nebraska - Kearney, NE,688490001, Public,227," $330,000.00 "," $357,912.00 ",201, $-   ," $368,153.00 ",83," $119,157.00 "," $158,876.00 "
00255300, Midland University, NE,680254254, Private/Non-Profit,159," $104,492.00 "," $231,627.00 ",348, $-   ," $447,750.00 ",156," $133,361.00 "," $133,361.00 "
00255400, University of Nebraska - Omaha, NE,681820001, Public,240," $394,125.00 "," $473,330.00 ",351, $-   ," $766,594.00 ",217," $299,676.00 "," $399,568.00 "
00255500, Nebraska Wesleyan University, NE,685042796, Private/Non-Profit,123," $112,021.00 "," $138,937.00 ",328, $-   ," $550,722.00 ",366," $124,136.00 "," $155,433.00 "
00255700, Mid-Plains Community College, NE,691019420, Public,38," $38,638.00 "," $32,100.00 ",0, $-   , $-   ,256," $32,112.00 "," $46,256.00 "
00255900, Peru State College, NE,684210010, Public,84," $93,944.00 "," $104,732.00 ",0, $-   , $-   ,132," $42,407.00 "," $76,321.00 "
00256000, Western Nebraska Community College, NE,693611815, Public,56," $52,130.00 "," $58,794.00 ",0, $-   , $-   ,91," $32,639.00 "," $47,867.00 "
00256300, Union College, NE,685064387, Private/Non-Profit,69," $145,190.00 "," $177,972.00 ",142, $-   ," $268,214.00 ",194," $138,396.00 "," $184,528.00 "
00256500, University of Nebraska, NE,685880419, Public,589," $977,881.00 "," $953,599.00 ",2809, $-   ," $3,346,937.00 ",1897," $515,356.00 "," $771,173.00 "
00256600, Wayne State College, NE,687871172, Public,59," $104,795.00 "," $92,655.00 ",80, $-   ," $213,865.00 ",199," $64,914.00 "," $64,164.00 "
00256700, York College, NE,684672699, Private/Non-Profit,146," $78,774.00 "," $78,774.00 ",39, $-   ," $90,031.00 ",172," $76,781.00 "," $76,781.00 "
00256800," University of Nevada , Reno", NV,895570002, Public,261," $455,470.00 "," $505,496.00 ",320, $-   ," $868,500.00 ",203," $317,970.00 "," $423,960.00 "
00256900, University of Nevada - Las Vegas, NV,891541001, Public,289," $901,366.00 "," $912,159.00 ",35, $-   ," $214,815.00 ",894," $530,139.00 "," $671,368.00 "
00257200, Colby-Sawyer College, NH,32574648, Private/Non-Profit,276," $129,902.00 "," $173,203.00 ",45, $-   ," $110,815.00 ",331," $123,984.00 "," $165,312.00 "
00257300, Dartmouth College, NH,37553529, Private/Non-Profit,805," $1,000,108.00 "," $906,505.00 ",929, $-   ," $4,256,653.00 ",550," $799,883.00 "," $1,399,880.00 "
00257500, Franklin Pierce University, NH,34610060, Private/Non-Profit,231," $247,884.00 "," $320,031.00 ",247, $-   ," $705,350.00 ",140," $134,416.00 "," $168,020.00 "
00257900, New England College, NH,32423293, Private/Non-Profit,172," $217,477.00 "," $179,582.00 ",276, $-   ," $591,850.00 ",278," $192,670.00 "," $302,517.00 "
00258000, Southern New Hampshire University, NH,31061045, Private/Non-Profit,317," $500,000.00 "," $482,883.00 ",278, $-   ," $444,938.00 ",2479," $400,000.00 "," $601,450.00 "
00258100, NHTI  - Concord's Community College, NH,33017412, Public,102," $85,243.00 "," $92,868.00 ",69, $-   ," $63,166.00 ",340," $84,812.00 "," $132,342.00 "
00258200, Manchester Community College, NH,31028518, Public,41," $55,136.00 "," $47,489.00 ",2, $-   ," $6,000.00 ",95," $54,416.00 "," $57,671.00 "
00258300, Great Bay Community College, NH,38012807, Public,50," $40,755.00 "," $43,848.00 ",7, $-   ," $9,800.00 ",193," $39,638.00 "," $63,049.00 "
00258600, Rivier University, NH,30605086, Private/Non-Profit,175," $125,000.00 "," $142,930.00 ",39, $-   ," $41,000.00 ",144," $63,028.00 "," $107,198.00 "
00258700, Saint Anselm College, NH,31021310, Private/Non-Profit,638," $399,977.00 "," $532,223.00 ",310, $-   ," $584,256.00 ",227," $226,420.00 "," $245,972.00 "
00258900, University of New Hampshire, NH,38242511, Public,1951," $2,319,943.00 "," $2,783,867.00 ",1832, $-   ," $2,557,110.00 ",2888," $1,409,396.00 "," $2,608,859.00 "
00259000, Keene State College, NH,34351504, Public,522," $316,435.00 "," $611,477.00 ",352, $-   ," $449,700.00 ",816," $357,453.00 "," $476,604.00 "
00259100, Plymouth State University of the University System of New Hampshire, NH,32641595, Public,599," $413,474.00 "," $670,492.00 ",354, $-   ," $424,046.00 ",804," $365,350.00 "," $471,961.00 "
00259600, Atlantic Cape Community College, NJ,83302699, Public,129," $219,810.00 "," $223,788.00 ",0, $-   , $-   ,763," $244,617.00 "," $224,600.00 "
00259700, Bloomfield College, NJ,70033425, Private/Non-Profit,173," $193,875.00 "," $138,567.00 ",0, $-   , $-   ,122," $202,028.00 "," $222,930.00 "
00259800, Caldwell College, NJ,70066195, Private/Non-Profit,88," $121,864.00 "," $113,061.00 ",0, $-   , $-   ,167," $78,366.00 "," $132,459.00 "
00259900, Centenary College, NJ,78402184, Private/Non-Profit,87," $147,888.00 "," $149,531.00 ",165, $-   ," $231,000.00 ",138," $109,704.00 "," $198,000.00 "
00260000, College of Saint Elizabeth, NJ,79606989, Private/Non-Profit,128," $116,185.00 "," $116,185.00 ",26, $-   ," $80,042.00 ",91," $87,889.00 "," $87,889.00 "
00260100, Cumberland County College, NJ,83629912, Public,111," $100,000.00 "," $95,152.00 ",0, $-   , $-   ,266," $100,000.00 "," $92,238.00 "
00260300, Drew University, NJ,79404063, Private/Non-Profit,311," $255,252.00 "," $430,973.00 ",27, $-   ," $27,150.00 ",167," $172,452.00 "," $174,372.00 "
00260700, Fairleigh Dickinson University, NJ,76661996, Private/Non-Profit,521," $753,342.00 "," $471,836.00 ",520, $-   ," $1,162,713.00 ",572," $910,754.00 "," $1,048,359.00 "
00260800, Georgian Court University, NJ,87012697, Private/Non-Profit,121," $151,209.00 "," $137,839.00 ",0, $-   , $-   ,69," $110,170.00 "," $107,533.00 "
00260900, Rowan University, NJ,80281702, Public,449," $762,887.00 "," $623,387.00 ",188, $-   ," $1,100,000.00 ",1503," $495,496.00 "," $488,215.00 "
00261000, Felician College, NJ,76442198, Private/Non-Profit,51," $148,107.00 "," $111,210.00 ",0, $-   , $-   ,315," $127,321.00 "," $137,007.00 "
00261300, New Jersey City University, NJ,73051597, Public,294," $485,844.00 "," $476,545.00 ",70, $-   ," $150,000.00 ",597," $321,467.00 "," $317,544.00 "
00261500, Middlesex County College, NJ,88183050, Public,113," $379,875.00 "," $324,753.00 ",0, $-   , $-   ,668," $400,000.00 "," $392,302.00 "
00261600, Monmouth University, NJ,77641898, Private/Non-Profit,1038," $500,000.00 "," $1,304,940.00 ",526, $-   ," $768,522.00 ",548," $286,518.00 "," $548,586.00 "
00261700, Montclair State University, NJ,70439987, Public,488," $608,303.00 "," $631,786.00 ",598, $-   ," $733,493.00 ",828," $412,103.00 "," $671,950.00 "
00262100, New Jersey Institute of Technology, NJ,71021982, Public,251," $405,277.00 "," $350,518.00 ",748, $-   ," $433,566.00 ",802," $262,341.00 "," $285,887.00 "
00262200, Kean University, NJ,70837131, Public,252," $564,955.00 "," $552,919.00 ",214, $-   ," $197,313.00 ",469," $461,554.00 "," $417,215.00 "
00262400, Ocean County College, NJ,87542001, Public,83," $161,603.00 "," $161,603.00 ",0, $-   , $-   ,742," $146,650.00 "," $146,650.00 "
00262500, William Paterson University of New Jersey, NJ,74702152, Public,164," $379,422.00 "," $321,584.00 ",122, $-   ," $220,762.00 ",440," $356,127.00 "," $349,048.00 "
00262600, Princeton Theological Seminary, NJ,85400803, Private/Non-Profit,94," $77,351.00 "," $118,871.00 ",67, $-   ," $198,500.00 ",0, $-   , $-   
00262700, Princeton University, NJ,85440001, Private/Non-Profit,564," $1,198,089.00 "," $1,075,175.00 ",153, $-   ," $656,744.00 ",318," $1,009,869.00 "," $1,645,855.00 "
00262800, Rider University, NJ,86483099, Private/Non-Profit,502," $491,731.00 "," $817,220.00 ",774, $-   ," $545,304.00 ",620," $334,274.00 "," $466,054.00 "
00262900," Rutgers, the State University of New Jersey", NJ,89011281, Public,3396," $4,211,343.00 "," $5,226,990.00 ",4601, $-   ," $7,574,522.00 ",1887," $1,782,906.00 "," $2,958,724.00 "
00263200, Seton Hall University, NJ,70792697, Private/Non-Profit,505," $1,054,221.00 "," $1,036,105.00 ",451, $-   ," $1,650,990.00 ",186," $433,448.00 "," $625,429.00 "
00263800, Saint Peter's University, NJ,73065997, Private/Non-Profit,257," $356,432.00 "," $356,432.00 ",0, $-   , $-   ,258," $241,627.00 "," $241,627.00 "
00263900, Stevens Institute of Technology, NJ,70305370, Private/Non-Profit,542," $689,764.00 "," $601,764.00 ",974, $-   ," $1,039,754.00 ",504," $283,015.00 "," $607,275.00 "
00264200, College of New Jersey (The), NJ,86280718, Public,75," $227,576.00 "," $189,677.00 ",225, $-   ," $652,957.00 ",150," $165,450.00 "," $273,333.00 "
00264300, Union County College, NJ,70161598, Public,163," $295,811.00 "," $297,847.00 ",0, $-   , $-   ,1619," $298,057.00 "," $320,937.00 "
00264900, Santa Fe University of Art and Design, NM,875057634, Proprietary,139," $222,711.00 "," $230,206.00 ",65, $-   ," $60,000.00 ",140," $228,671.00 "," $334,116.00 "
00265000, University of the Southwest, NM,882409129, Private/Non-Profit,32," $60,000.00 "," $34,219.00 ",0, $-   , $-   ,33," $17,271.00 "," $32,271.00 "
00265100, Eastern New Mexico University, NM,881306000, Public,398," $1,190,822.00 "," $1,072,046.00 ",128, $-   ," $442,980.00 ",1282," $477,688.00 "," $718,934.00 "
00265300, New Mexico Highlands University, NM,877014436, Public,161," $354,678.00 "," $491,150.00 ",60, $-   ," $169,148.00 ",199," $186,633.00 "," $238,612.00 "
